,_id,name,owner,tracks,id
84,{'$oid': '5730d2b788e15285dc1fd81c'},POSS COMP DISC,622d285b791010709f2156a5e45c71d7,"['676FtsPfCPyidMbDMC9ntd', '1D1y9TPFcJHTb65DoIRhRS', '6QvuLxsLMe7fZZksltULFt', '1FYYll9aIVCfAANCxfYs8T', '13ExQo6Aws3geRX5p5vvwA', '35cFi6A8GDKDAs46mR71ll', '5IWfKnzC8gzbXfGn5gCvS9', '0OPOIKHmhjHlVI10UsGLf4', '5PoMpQ3ItAwMWCyHI7OpuO', '1L6Z3I2lZckcnv4DHkWckZ', '6ga2rqRghhxP1UiYGRMS1F', '4tc5UgZiIdz8LAISqEk1hP', '2hXDKS3J2AxnTi3YrdPyYa', '1m4Xgq6YDMVjKXTml9OU47', '5msorqVYNksLrA1CPQsipk', '4C9c580uQLtuiGb7tp5Ssy', '6t9rA4gelAjTwC5JLaFnTf', '0o4S13NJiEdnzy67ZKoyFZ', '2J0UNEaoo2ols9kwejmXc7']",5730d2b788e15285dc1fd81c
88,{'$oid': '5730d2b788e15285dc1fd820'},TRIPPIN',622d285b791010709f2156a5e45c71d7,"['1gGY6qfslDtJ4OoWQGKtkE', '44g4NcToGwbFbFQFsn0gWn', '7cM93GhjLMv6kXqKrqhTL8', '2dSxJqah1Q6S2T5Q6cmPZZ', '7hvr7OFxide5U7zTSnBXJa', '2C4thOuFKmB2Jze2x25KZp', '68ie6NVgaJjw4GCEY9EuIv', '34JqB0yAy6MK187Dsc3jOz', '3OEfBHsoDIJu6tq4glWWiV', '1h4KA8WqfvIi2TBjkpM4qO', '24oPZkxrn8ZByOTOnvotYQ', '2epLYWuz0QLII6EOmLxkDj', '5xV8BoB2kzoy4WUPKHo8SG', '6ov8vI0X0vjhcTAN6FytJ2', '7nnb3Puf9oQgxT3X93nPa7']",5730d2b788e15285dc1fd820
91,{'$oid': '5730d2b788e15285dc1fd823'},CHRUSTMAS ATMOS ,622d285b791010709f2156a5e45c71d7,"['4AbZhOoBkxdJvuSEs41b1w', '4IhzWCGC7Rqx7F5yNnxshu', '2PtPlD2sNpU60bUUo44QWN', '2sCSuobO9Ji1CWpORoPqkT', '3CFyfdIDKsIrhizViRTTG8', '1mScOKklx8m8FvNcarYHOs', '69X5pnA1e8rF06bDrFxqBD', '1yBNvgadTZqrgpsc3Pd0Y4', '60ILZE1QlvROWNz2Am7LIM', '7dGgCgyGJW0KUcRnxpq1Z8', '2jxxhE1eCeHwrgJs4wZp6X', '6CmPfPRU24u5cXyinbeDXI', '4wCs1Q1XHupxm4iUxsRoKG', '4uAsQ1aoO2w0hEYdri991j', '1ERtooTAagys3zZALiD5IO', '5KVP5q19VeNY1SgIOoHaH2', '2pybHEV9QhuGWW6f43ysp7', '3Jkkdws6gEaN9JvBRnNcEa', '4rSrLjLVg4JH8Zpo619XuH', '0tgCmEklLDy48RyjNERi4X', '71cFdgS0lP6SqLiJ0HVTjd', '5b1jXYUOgAX5QAHXPVHdld', '2cxjHwWDgopaEa4U1nVeSr', '0nlqorVbqYB3haNKIAbajE', '3729lkp4CPafUSiT4oUMvJ', '1j4A3xCklwZtGL3wEKnl0r', '23OTNw1jY44BeSBj9IGmhv', '6hXHOrhKW9dgQt35Mc5dCb', '1hYMbOMeIVm3jdmJPz7zKi', '57GKvHclnLgPFp43dZxGIm', '5wPsVMQupLSBYl9gFtFClK', '29cjJmloO5C0t6Ak3bNLTv', '4eUsMVKYsQ5TwzMUPeUhu4', '7H4cYx0XRBHTVKLfrJQyYF', '0Iir8ImoOfwR8FBTpGKYAH']",5730d2b788e15285dc1fd823
116,{'$oid': '5730d2b788e15285dc1fd83c'},Typhoon - Tussen Licht En Lucht,eb19b0aaaa296207ba9acc3ceabe5779,"['3SWbjq41KF1yeUoEjpfC3u', '0sJLYOUi6B53IJvm249Ear', '19qMopKUS09CChcO2gXkMk', '3VNzKwyk7bCQIsjxdGw8Yb', '5ToqXGyEVVivHIr0v9NmTl', '1w1yA455jFlINlpJrt2gHK', '4Iv0umS82XgsAnRxr6dzbK', '0Z2PqiadbV0uhLkOqn0wLK', '5lVOjpS891EBNaSi4xtT4B', '7CtLN8t4E85lavWTRMbIDv', '1mn4desdM0nEz0qdro1AXh', '1vXZZuPDeSI9rOcZEk8OTG', '1zkmlZA9Vkiepy0gwkQ6FC', '4Ie3yRWwrMXlmpwOtG8xh4', '4XC91FpmzNJAdFjcZEDOvt', '6OVefMxqdfC92QKhcPcl8K']",5730d2b788e15285dc1fd83c
117,{'$oid': '5730d2b788e15285dc1fd83d'},B,eb19b0aaaa296207ba9acc3ceabe5779,"['1vHC51rey9PU9QhjWwemEw', '7nmArpOotJ431XYlJXI1vy', '1ED9Gg45X5jSyM0dATaUrn', '5L28Ji31tIWYMPHL9jxVZC', '5M8nEsWqUkwUwCp58ydE4W', '1EEhF1U3FTIGGFYXkhzk9R', '63dETSxIKCdUHGzlUyCjWb', '1olNHIIVl4EVwIEPGYIR7G', '1z6WtY7X4HQJvzxC4UgkSf', '04cxAqa9ZgLwvEskosNVsB', '3Osd3Yf8K73aj4ySn6LrvK', '45kgqsq1g9liM5tvdKNhLa', '6tYOVczqJMDYlyUt4jbxhW', '5EmCpD8tUj78VW3kgaEjME', '2vPTtiR7x7T6Lr17CE2FAE', '4Li2WHPkuyCdtmokzW2007']",5730d2b788e15285dc1fd83d
118,{'$oid': '5730d2b788e15285dc1fd83e'},A$AP Rocky - LONG.LIVE.A$AP (Deluxe Version),eb19b0aaaa296207ba9acc3ceabe5779,"['4paWhLk6dHX5NLoTAqG3dM', '3IvVQ1qmekCQ4LRwGCyIJA', '793xe74Xm4VFkkAOI6eZvy', '5oJ6pSfpV5HH9QBeXyNMjJ', '6hP8N6hD4j9zwspKHXoJWW', '2JPavCWYtpCSnyLwnLBvXZ', '40H5libEZWrbkc8HTlXGbt', '22Mme5vsZ688TMUieIHdx3', '7ujbNS6fmb82EcZfiDsUd5', '6BYVAEPmqWVUSqtrQpvLTT', '6KM0MPPSPGjBlQgdwIeJLc', '35gDUOhgx0usvu8OqVsMnU', '4go2hxLM6ijk0K76ZY0Nhd', '4XoP1AkbOurU9CeZ2rMEz2', '7AijU6oTPGmG64uWf63Qvc', '4dz4nfY5LeFUR99uspA5e6']",5730d2b788e15285dc1fd83e
119,{'$oid': '5730d2b788e15285dc1fd83f'},Hoooooi,eb19b0aaaa296207ba9acc3ceabe5779,"['1B75hgRqe7A4fwee3g3Wmu', '7ptxlO1s34uXTPnm2S0Tno', '1yRBHnXfl6wjCnM6dYRXq0', '7vfvZp6KZJpxiaW6rI9ieM', '2QbMbzEo18oUOD7GF95lWW', '32SFvZODywPBVDYSYtqxCj', '3n9R5HUB7fkT5panqiS1ER', '6X0U1NIujkYExpcho01OXG', '4dTMU4O2DdyIlRlss7v9UP', '3mLTAaEdIKdxJqFzRoFfPi', '5gstgcN6DR3e6QPUmdLlek', '1s3X2ou0zF5vSeLnwNHw8B', '4Nomj38R7Ds0P8I8orW2Tv', '4YAtIop3U0HsJ7jE94BCmX', '4Z91Xh9bjKLWR1gDvvVdHn', '6pxXNGfymt03wkLEgMB6mt', '3tuoGlPsvRp1GyrcXkop63', '77dC7dKzMm65Y9jkJs0Ssd']",5730d2b788e15285dc1fd83f
120,{'$oid': '5730d2b788e15285dc1fd840'},Loyal (East Coast Version),eb19b0aaaa296207ba9acc3ceabe5779,"['1Sj81sMg37Hd4omn7Ow2qR', '44lUcHz7LXhvdlwLy8WsBg', '3JsPQbdGRRN6C7n8OsNTnj', '4aIZQ7kJLS1TgFw2pEj0RD', '3UgSQu6WwrXfKKDq019IHE', '5rph5sObvxskRcb1JLV70r', '2WzpOMkCaakq1T3luPCjLH', '0rFZaQ4crlGAzuCjWCQ2xu', '2RVw4VwvSrCpvyYD2MUoiy', '39h7qYbmksGgxQzDH9X7Aq', '66hayvUbTotekKU3H4ta1f']",5730d2b788e15285dc1fd840
124,{'$oid': '5730d2b788e15285dc1fd844'},Route 94 - My Love,eb19b0aaaa296207ba9acc3ceabe5779,"['2oMOqX9k4k16odibNkYyrD', '3tK9aXMLi2QSMvxAS7rpv5', '4LUu3bMpuxHjwPLj84rNSx', '42nIqUkzDSDkTaLHIRzTnW', '4WlyvNFGdQzMGGE6qdWD13', '7Jq9mLYICt8H6Lr0PRCLFn', '240mp2P9Iv7iqG30Y8eu3L', '0idc0XRnLRovVqpWnGQ6hC', '2WMRd3xAb9FwXopCRNWDq1', '4px7GTaYNCLj6XyjiFq9xY', '6HFbq7cewJ7rPiffV0ciil', '3W2ZcrRsInZbjWylOi6KhZ', '7vGWH8cSr389jeNN4fsXYQ', '1opkP7MsGYWprn3Z7j53At', '2MYl0er3UZ1RlKwRb5LODh']",5730d2b788e15285dc1fd844
125,{'$oid': '5730d2b788e15285dc1fd845'},American Oxygen,eb19b0aaaa296207ba9acc3ceabe5779,"['7Df0z75yVuHOFEuAbk40lA', '2yRoS4v5wvNAjbQNTtfZWL', '1oJG2sBvVB6qLP69srQDn4', '3FBJVaigH2hxlkqJfC6mlf', '3WsqxzFAxXhLyzqMCrsUjT', '7pRXbrdWSqhwXDuBzwDwoe', '7s1upm7yr7ZjrzXMwHawtG', '1mZfquPuigPXQBFRjE9pLF', '1OxZ0GshAXtn2h0HvuaBKt', '1ys3u2OlPa7ex784dRQUmS', '1XCpTCBHoG6JFzQA1mm5EX', '4gCrVzUIw3mbMOzFblyYlz', '3NBGBSeG1J4fbc52jEUAeD', '495wzzSEQJ8d5Sg2vtgX8p', '539HpTjkmnhbPn3p7mjByN', '4WkV7oBC7cnpOmYhQU3aUA']",5730d2b788e15285dc1fd845
126,{'$oid': '5730d2b788e15285dc1fd846'},Future Funk,a9e762ab6388b8c5d0f113d43f1ac437,"['6lO6GaCwoRBXpGqTPBAvwJ', '7ITdIemARn5IgI8SyEF2OY', '6UlRJnR5mYQrbq9mwv0zoi', '5oZpvURIWI6DAfLHzD0Q66', '7e2ShDnoz6SxafbDLgg7SC', '1VOmMPsDRT7ATvAdHlbWRB', '4lIXtZ88WmHcaSB0K3Vl5k', '54VFn5x6sxBU5OQ97GT8yH', '4IGmrZ2FwqxjRwGO7pSr8m', '690QOy4S10AKamg9utFnlt', '5yHX4bbdKZpRurPZfa4mh3', '1sVwoJ9c4mlhnJrjRfxEpl', '7h1Lsma6eJBABuiqPsrKf8', '04xNweuEbEoUdBgWdbr2DO', '2CODDR07GsJ6H5dOaUEUvG']",5730d2b788e15285dc1fd846
132,{'$oid': '5730d2b788e15285dc1fd84c'},Rock and Roll Will Never Die - The Classics,a9e762ab6388b8c5d0f113d43f1ac437,"['5on5Va9IhozFbHxcc9xGHX', '2ZE2A47zah0C3Ee2uVKDbT', '58RWYT5MGo8e4Y3WAZHh9g', '1t3mzpCfaMsEqL1Fbq46ST', '6jkNs6ZRiLjIk87MWmSGWu', '1W1GpfPujmgp2vQqcpUhtU', '4M6KXdzqkOfTpKOrBIqWx0', '6l9QcD0SY3M1HQmvqan6sS', '6V1bLBjSgfpRfzYHiWvg3B', '252pAlbltOjOcUux4dRtjp', '0RteYQqW1AOq3JNL0yMWYt', '5OuaAMBmGjjJMK7yXpaFAK', '1ntxpzIUbSsizvuAy6lTYY', '5JC4BHDEyREcHfPyOwEbEM', '02DurCgOvDdX0uKEjqcl3W', '0LN5gIsS5tQSmRzQrHSaTR', '38M64DZhoXKmKmm32mcqdI', '587P51HbZkZCjq9foest2V', '5YYBw3dte6eN0I5FTddYXe', '153NHo5ncbWeJdhgwNgCON', '3K9QlS0VCtkzUvo0HY75VE', '05Yv5shaMJ0SZ0HTKmrEYl', '0TzCim4sBQZ9N0AAG25lOM', '1BUTAQyk9QsdvRDghyMTC9', '2wvMC5EyaaYQwBfiwwY2xE', '672N8DGGTOLCOgWe0koX5g', '6gXrEUzibufX9xYPk3HD5p']",5730d2b788e15285dc1fd84c
133,{'$oid': '5730d2b788e15285dc1fd84d'},Bang Tha Box,a9e762ab6388b8c5d0f113d43f1ac437,"['0yPIRqv0Vjsz70EctgOqkI', '2NF70gqys3wStkr7qY4IsW', '6jIS9O0aGQVJ6dpolRTXv5', '3CEQatlLyxOjrU2yATNvnK', '3XNGqWvibzOmOX3BjkeEm5', '0g3nXrDKeeqEpl9S3EZy1F', '1umf7EwuBmL97Rwyc0yO2f', '3vVJ7Ge0Cg96V8rvWtnSKW', '2ATHj701avdjZ6Ala1Zsrt', '3g8EIcXh4s7y6ROC59YcKk', '7wNmJWKyopcyCsAxrjmviO', '549SvIOnXLspDAc5NoDoBQ', '0hqSnL0fB1roGCgFm4kQLm', '2BKMjvRiwoneErCw69VxBO', '24yJ6uMmUMaj8GEI5o81z0', '1YbqXALlxZotzCa9isHGss', '2mDlNnhoYuL8hzhcrVPLAH', '7GeieCvGFByiQTnOWw4cGB', '2umgPQIGgCSPaOySgarcTs', '32DQciPlOuqpWXhmwAgXVw', '3YnFHzaubbW275RHTt8Dh6', '4AeKhEhHfTE76DRj6dkM2f', '4Ps7ZJ2YJmQhmEpHhPZ5Pu']",5730d2b788e15285dc1fd84d
