Cluster,Serendipity,SerendipityMax,SerendipityMin
Afro,0.38307692307692315,0.5000000000000001,0.0
Ambient,0.3434508811429468,0.5000000000000001,0.0
Anime,0.37861616410298093,0.5000000000000001,0.0
Arab,0.4705032031140902,0.5000000000000001,0.0
At Home,0.1717534275823819,0.5000000000000001,0.0
Blues,0.3900385224042295,0.5000000000000001,0.0
Caribbean,0.3356430458665786,0.5000000000000001,0.0
Chill,0.22817475632453932,0.5000000000000001,0.0
Christian & Gospel,0.38560459957978027,0.5000000000000001,0.0
Classical,0.4464031500932305,0.5000000000000001,0.0
Cooking & Dining,0.1710686365451041,0.5000000000000001,0.0
Country,0.4683516483516484,0.5000000000000001,0.1249999999999999
Dance-Electronic,0.15471365362395006,0.5000000000000001,0.0
Decades,0.3450157061800726,0.5000000000000001,0.0
Desi,0.34285282385932087,0.5000000000000001,0.0
EQUAL,0.31414389260683223,0.5000000000000001,0.0
Focus,0.16038853582941967,0.5000000000000001,0.0
Folk & Acoustic,0.4208011902864018,0.5000000000000001,0.0
Frequency,0.27914858388606023,0.5000000000000001,0.0
Fresh Finds,0.15123109760811645,0.5000000000000001,0.0
Funk,0.2589966113497231,0.5000000000000001,0.0
Gaming,0.40924897149386025,0.5000000000000001,0.0
Hip-Hop,0.379308765843722,0.5000000000000001,0.0
In the car,0.27425906518924525,0.5000000000000001,0.0
Indie,0.4404435752022186,0.5000000000000001,0.0
Instrumental,0.18829990520835885,0.5000000000000001,0.0
Jazz,0.31362719187510196,0.5000000000000001,0.0
K-Pop,0.1535242587387877,0.5000000000000001,0.0
Kids & Family,0.40845746784156267,0.5000000000000001,0.0
Latin,0.3481841138052926,0.5000000000000001,0.0
Metal,0.4294294370077965,0.5000000000000001,0.0
Mood,0.3607667941789574,0.5000000000000001,0.0
NL,0.2897153185950472,0.5000000000000001,0.0
Party,0.3303491856640509,0.5000000000000001,0.0
Pop,0.4192794915925901,0.5000000000000001,0.0
Pride,0.2158057136602193,0.5000000000000001,0.0
Punk,0.31244651188545697,0.5000000000000001,0.0
R&B,0.12523690794440306,0.5000000000000001,0.0
RADAR,0.31046350470197426,0.5000000000000001,0.0
Rock,0.30704595303249455,0.5000000000000001,0.0
Romance,0.3620607672234974,0.5000000000000001,0.0
Sleep,0.2987880528404384,0.5000000000000001,0.0
Soul,0.3890736525007625,0.5000000000000001,0.0
Spotify Singles,0.3009674077113207,0.5000000000000001,0.0
Summer,0.22754540384036592,0.5000000000000001,0.0
Tastemakers,0.12898500517954628,0.5000000000000001,0.0
Top Lists,0.3960773250103118,0.5000000000000001,0.0
Travel,0.40778670258152977,0.5000000000000001,0.0
Trending,0.4547159038459452,0.5000000000000001,0.0
Wellness,0.2536352357014732,0.5000000000000001,0.0
Workout,0.3452395113880382,0.5000000000000001,0.0
theLINER,0.28893112485041533,0.5000000000000001,0.0
